RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
29,"Texas Tech
 6 seed, ✅",B12,33,"23-10
11–7","117.3
23","98.6
48",".8810
29","52.8
69","49.1
98","16.5
144","17.0
164","30.2
124","30.3
232","34.6
130","26.6
31","51.5
127","49.6
144","36.5
33","32.1
72","41.1
81","39.0
246","66.5
245","3.2
19"
30,"Mississippi St.
 8 seed, ✅",SEC,34,"21-13
8–10","112.6
61","95.0
19",".8761
30","51.7
120","47.7
43","18.7
291","18.2
96","35.4
21","27.6
112","37.9
56","32.4
171","53.4
56","50.2
170","32.5
246","29.4
6","38.2
152","41.1
300","67.2
197","0.7
48"
31,"Northwestern
 9 seed, ✅",B10,32,"21-11
12–8","117.1
25","99.2
64",".8706
31","53.2
61","51.6
248","13.3
5","18.8
67","25.7
285","28.2
138","29.9
260","39.4
314","49.7
209","50.3
176","39.4
4","35.9
311","36.8
191","36.9
171","63.7
343","1.4
36"
32,"Nevada
 10 seed, ✅",MWC,32,"26-7
13–5","115.4
35","97.9
37",".8688
32","53.3
56","48.2
62","15.0
53","17.3
145","27.5
227","27.2
100","46.2
3","34.3
224","52.6
85","49.1
117","36.5
33","31.3
37","33.6
274","41.0
296","66.8
223","2.9
20"
34,"Colorado St.
 10 seed, ✅",MWC,33,"25-10
10–8","114.3
46","97.1
31",".8663
34","54.8
29","48.7
79","15.0
53","16.6
196","24.4
302","27.0
93","32.5
187","31.7
150","57.8
9","47.8
67","33.3
209","33.5
146","38.1
154","33.9
62","66.0
268","1.6
33"
35,"TCU
 9 seed, ✅",B12,33,"21-12
9–9","114.3
44","97.3
32",".8650
35","51.9
106","50.3
168","17.9
234","20.8
22","35.5
20","28.6
155","35.1
115","35.7
257","51.2
142","50.9
202","35.6
84","32.8
112","30.2
326","35.2
96","69.9
54","1.1
41"
36,"Clemson
 6 seed, ✅",ACC,32,"21-11
11–9","116.7
27","99.4
69",".8630
36","53.9
45","48.7
79","14.9
49","13.6
342","27.7
221","25.2
33","30.6
243","31.2
137","54.4
38","47.1
48","35.4
97","34.0
183","40.2
102","40.6
287","66.2
256","0.8
46"
38,"Boise St.
 10 seed, ✅",MWC,30,"22-10
13–5","114.3
45","97.7
34",".8587
38","51.6
125","49.8
135","16.5
144","16.8
185","32.5
71","23.1
5","36.1
92","33.1
192","51.2
142","52.1
257","34.8
131","30.6
23","39.8
111","36.9
171","66.7
235","1.1
43"
41,"Washington St.
 7 seed, ✅",P12,33,"24-9
14–6","112.8
58","96.6
27",".8563
41","52.1
92","47.3
34","16.1
109","15.9
258","32.9
59","24.9
28","31.7
213","32.7
182","52.6
85","46.9
44","34.0
175","32.0
68","32.0
301","31.5
27","64.9
314","2.0
28"
42,"Dayton
 7 seed, ✅",A10,31,"24-7
14–4","117.5
21","100.8
90",".8535
42","56.6
9","47.9
49","15.8
91","15.7
273","26.9
255","29.0
176","37.2
70","21.8
3","53.7
49","48.2
78","40.2
3","31.7
53","44.5
29","40.4
284","64.0
338","2.5
25"
43,"Texas A&M
 9 seed, ✅",SEC,34,"20-14
9–9","115.1
38","99.1
60",".8481
43","45.4
344","50.1
157","14.2
21","16.9
175","41.9
1","28.0
128","38.2
48","31.2
137","47.0
301","49.5
137","28.4
353","33.9
172","38.1
154","44.9
351","65.6
286","0.10
55"
47,"South Carolina
 6 seed, ✅",SEC,33,"26-7
13–5","114.4
42","99.0
56",".8403
47","50.8
162","48.0
51","15.5
71","14.9
307","33.1
56","28.0
128","31.8
209","30.8
131","51.1
149","46.8
38","33.5
198","33.6
154","41.0
83","31.2
23","63.0
353","4.7
12"
50,"Drake
 10 seed, ✅",MVC,33,"28-6
16–4","114.9
39","100.2
82",".8283
50","54.9
27","51.0
206","13.9
14","17.4
139","24.2
312","22.1
1","32.6
184","31.0
134","55.1
23","51.9
244","36.5
33","33.0
120","39.6
119","39.3
250","67.8
154","1.7
32"
51,"Florida Atlantic
 8 seed, ✅",Amer,33,"25-8
14–4","117.4
22","102.8
133",".8207
51","55.0
24","49.7
129","15.8
91","16.5
207","33.8
39","29.2
189","34.8
125","27.5
52","56.0
16","49.3
127","35.6
84","33.6
154","38.8
134","36.3
135","68.0
145","1.3
39"
52,"Utah St.
 8 seed, ✅",MWC,31,"27-6
14–4","114.4
43","100.3
84",".8197
52","54.1
40","49.6
126","15.7
81","16.4
214","28.5
186","25.4
39","40.0
26","30.4
120","57.1
11","53.1
304","32.1
268","29.0
3","33.4
281","36.7
154","68.6
110","3.5
15"
55,"Oregon
 11 seed, ✅",P12,34,"23-11
12–8","113.3
55","99.5
72",".8157
55","51.8
114","51.5
241","14.8
45","17.9
116","28.7
177","27.1
96","32.3
194","32.8
188","52.7
82","51.6
232","33.6
195","34.3
210","36.7
197","36.2
130","67.2
198","1.4
37"
61,"North Carolina St.
 11 seed, ✅",ACC,36,"22-14
9–11","114.0
49","101.4
100",".7947
61","50.7
170","50.5
184","13.7
9","17.9
116","28.6
180","29.3
192","32.5
187","31.9
155","50.1
186","49.5
137","34.6
142","34.9
248","33.5
278","35.3
100","67.9
147","-0.8
64"
63,"Virginia
 10 seed, ❌",ACC,34,"23-11
13–7","103.6
211","92.2
6",".7914
63","48.6
263","46.6
19","13.0
4","19.4
50","25.6
287","28.1
133","25.3
347","25.8
22","46.2
321","47.2
51","35.8
70","30.5
19","32.6
293","39.6
260","60.1
362","1.1
42"
69,"James Madison
 12 seed, ✅",SB,33,"31-3
15–3","112.1
63","100.5
88",".7780
69","54.4
34","46.7
22","14.7
42","19.8
39","32.0
80","27.6
112","34.2
135","35.1
247","54.2
41","48.8
102","36.5
33","28.6
2","38.1
154","35.1
91","69.8
63","1.5
35"
